RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
STAU1,HepG2,ENCSR124KCF,ENCSR067GHD,"ENCFF756OXT,ENCFF036XQB,ENCFF084DHZ,ENCFF691HLO","ENCFF501MSW,ENCFF365QAH","ENCFF834FOW,ENCFF408GMM",ENCFF523JIV,ENCFF436JDD,ENCFF378LQU,ENCFF727RBG,ENCFF577UMY,ENCFF907FID,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
FMR1,HepG2,ENCSR905HID,ENCSR042QTH,"ENCFF326YLT,ENCFF339AAQ,ENCFF193FFL,ENCFF272WFQ","ENCFF035LSX,ENCFF045GQX","ENCFF382BWK,ENCFF230KFS",ENCFF296LGW,ENCFF722HLC,ENCFF348OYO,ENCFF874BYG,ENCFF107GGG,ENCFF375PDV,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
RPS10,HepG2,ENCSR410UHJ,ENCSR491FOC,"ENCFF614MDJ,ENCFF144GGZ,ENCFF944FBA,ENCFF739QTJ","ENCFF964BRZ,ENCFF196RKN","ENCFF664CRD,ENCFF542HDK",ENCFF278CZA,ENCFF488FIC,ENCFF499YTI,ENCFF206GTY,ENCFF219RJO,ENCFF835EVU,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
EIF2S1,HepG2,ENCSR861ENA,ENCSR237YZT,"ENCFF392XBJ,ENCFF711IKC,ENCFF405UJA,ENCFF245HYS","ENCFF188MUD,ENCFF287DXE","ENCFF037QEG,ENCFF161VPA",ENCFF243GFU,ENCFF416VKJ,ENCFF547BHG,ENCFF246FRE,ENCFF328RWO,ENCFF017VFB,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
FIP1L1,HepG2,ENCSR116QBU,ENCSR067GHD,"ENCFF826NBM,ENCFF534PRU,ENCFF667PNW,ENCFF037UWR","ENCFF546TSA,ENCFF551ACF","ENCFF963NPH,ENCFF211OKO",ENCFF054VPJ,ENCFF924CHL,ENCFF087NFE,ENCFF308RZH,ENCFF581EHK,ENCFF199MAC,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
GRWD1,HepG2,ENCSR850FEH,ENCSR674KEK,"ENCFF488MOL,ENCFF879ZES,ENCFF812KAI,ENCFF003IEE","ENCFF695NHA,ENCFF681EYY","ENCFF272SHB,ENCFF293IFF",ENCFF625MCN,ENCFF475FWO,ENCFF005UBP,ENCFF836UVJ,ENCFF338UZK,ENCFF027EMK,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
TARDBP,HepG2,ENCSR527QNC,ENCSR264TUE,"ENCFF424BJP,ENCFF306FRF,ENCFF637BLZ,ENCFF682WVW","ENCFF246URB,ENCFF498VOW","ENCFF469BRI,ENCFF930AKS",ENCFF111BQS,ENCFF012AES,ENCFF148ZAK,ENCFF079RDP,ENCFF312DHO,ENCFF379IAP,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
AGO1,HepG2,ENCSR533HXS,ENCSR003EKR,"ENCFF212NRX,ENCFF406QLI,ENCFF074NKA,ENCFF739XYN","ENCFF807YHN,ENCFF475KTX","ENCFF827XWW,ENCFF787TFD",ENCFF421MGM,ENCFF609AMH,ENCFF047TCC,ENCFF446YYP,ENCFF103ICG,ENCFF462JDM,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
RPS3A,HepG2,ENCSR118VQR,ENCSR279HMU,"ENCFF565XPN,ENCFF321EUT,ENCFF476ZAC,ENCFF196OEK","ENCFF406FCK,ENCFF597LPT","ENCFF736MIA,ENCFF824GEY",ENCFF215UIT,ENCFF181MZG,ENCFF085HYN,ENCFF328NGG,ENCFF438VIY,ENCFF618MZS,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
EEF2,HepG2,ENCSR477TRX,ENCSR689PHN,"ENCFF292CKX,ENCFF521TMC,ENCFF293PDA,ENCFF696PCN","ENCFF062AVO,ENCFF591NXT","ENCFF463WUK,ENCFF964MVX",ENCFF077VHQ,ENCFF922PHD,ENCFF558OGK,ENCFF889VFZ,ENCFF413LEH,ENCFF948MDG,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
