RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
HNRNPC,HepG2,ENCSR550DVK,ENCSR497ANA,"ENCFF035QUK,ENCFF584MZO,ENCFF040BGS,ENCFF065BIC","ENCFF869PNM,ENCFF736ZQQ","ENCFF401SPQ,ENCFF738FJS",ENCFF105AKX,HNRNPC eCLIP mock input,"ENCFF412YDY,ENCFF357SNM",ENCFF823ZZZ
RBFOX2,HepG2,ENCSR987FTF,ENCSR799EKA,"ENCFF591SSP,ENCFF172GUS,ENCFF647KDW,ENCFF289OFA","ENCFF994WPX,ENCFF154BQS","ENCFF639MYI,ENCFF664WCU",ENCFF154DRN,RBFOX2 eCLIP mock input,"ENCFF264UQQ,ENCFF648TWD",ENCFF590UCY
IGF2BP1,HepG2,ENCSR744GEU,ENCSR205ZCE,"ENCFF943QCL,ENCFF437VOG,ENCFF362JFX,ENCFF539YWE","ENCFF059OSQ,ENCFF438FSK","ENCFF976DBP,ENCFF486BXN",ENCFF517ECT,IGF2BP1 eCLIP mock input,"ENCFF207TDD,ENCFF389YBN",ENCFF772RXA
HNRNPK,HepG2,ENCSR828ZID,ENCSR354KAS,"ENCFF016HQT,ENCFF924WZQ,ENCFF118YMC,ENCFF120AAW","ENCFF457EXY,ENCFF329QRR","ENCFF877KBJ,ENCFF556EBT",ENCFF993NVI,HNRNPK eCLIP mock input,"ENCFF060FDD,ENCFF555OUH",ENCFF538YHY
SRSF7,HepG2,ENCSR513NDD,ENCSR629MQN,"ENCFF729MSV,ENCFF605JFT,ENCFF619RHU,ENCFF578OMQ","ENCFF106PSH,ENCFF632LPF","ENCFF774EDY,ENCFF913UPA",ENCFF865AZP,SRSF7 eCLIP mock input,"ENCFF611KBN,ENCFF043KVQ",ENCFF586AZF
IGF2BP3,HepG2,ENCSR993OLA,ENCSR077KVG,"ENCFF518ZYS,ENCFF768LZF,ENCFF860PRT,ENCFF333RHN","ENCFF163VGP,ENCFF957CDL","ENCFF858ZLX,ENCFF175PMW",ENCFF311TOZ,IGF2BP3 eCLIP mock input,"ENCFF742YFO,ENCFF843CUY",ENCFF983FIG
TIA1,HepG2,ENCSR623VEQ,ENCSR333PZV,"ENCFF181GFC,ENCFF482SRR,ENCFF506BUC,ENCFF643ZXH","ENCFF485LRS,ENCFF878IQT","ENCFF055IIM,ENCFF358SGV",ENCFF640DDA,TIA1 eCLIP mock input,"ENCFF678FPJ,ENCFF805EWQ",ENCFF482VTM
SRSF9,HepG2,ENCSR773KRC,ENCSR060VZF,"ENCFF912JVC,ENCFF038QQM,ENCFF354DZK,ENCFF589NCU","ENCFF593PCX,ENCFF709HAD","ENCFF125UVA,ENCFF409GPI",ENCFF075NSB,SRSF9 eCLIP mock input,"ENCFF361CSS,ENCFF463PBP",ENCFF849LMJ
TRA2A,HepG2,ENCSR314UMJ,ENCSR544CTM,"ENCFF267TXP,ENCFF836WPZ,ENCFF253TTK,ENCFF065AKB","ENCFF693CSS,ENCFF832CEI","ENCFF210QRC,ENCFF955HGE",ENCFF917NGY,TRA2A eCLIP mock input,"ENCFF976JEU,ENCFF411KJR",ENCFF413FAM
IGF2BP1,K562,ENCSR975KIR,ENCSR125CLF,"ENCFF399XVR,ENCFF383VVS,ENCFF088JXR,ENCFF271KYF","ENCFF002KWR,ENCFF956NTH","ENCFF435MEM,ENCFF701YCW",ENCFF890VLH,IGF2BP1 eCLIP mock input,"ENCFF592FNJ,ENCFF672RWL",ENCFF425DPU
HNRNPM,HepG2,ENCSR267UCX,ENCSR459ONR,"ENCFF503KDE,ENCFF600EOC,ENCFF817WMP,ENCFF136GAI","ENCFF160MZO,ENCFF450IJF","ENCFF542FRX,ENCFF040JSC",ENCFF878JOG,HNRNPM eCLIP mock input,"ENCFF374BGY,ENCFF302HGT",ENCFF381PFB
FKBP4,HepG2,ENCSR018ZUE,ENCSR704LTK,"ENCFF214SWU,ENCFF975CKG,ENCFF487PAA,ENCFF437VVV","ENCFF035UHD,ENCFF249FBZ","ENCFF993XGD,ENCFF585PKG",ENCFF374GKD,FKBP4 eCLIP mock input,"ENCFF648UKF,ENCFF143QIL",ENCFF194AMH
HNRNPM,K562,ENCSR412NOW,ENCSR212ILN,"ENCFF389NRU,ENCFF169FPF,ENCFF024KBB,ENCFF315KYY","ENCFF854QQW,ENCFF259AUE","ENCFF016LSY,ENCFF462KTW",ENCFF342PGS,HNRNPM eCLIP mock input,"ENCFF018ESM,ENCFF589IKK",ENCFF030ZRP
IGF2BP2,K562,ENCSR062NNB,ENCSR387RGT,"ENCFF307AUO,ENCFF643OXD,ENCFF563WIX,ENCFF418NBV","ENCFF719CCI,ENCFF446VVE","ENCFF512QJT,ENCFF968WTB",ENCFF977MKB,IGF2BP2 eCLIP mock input,"ENCFF939IUP,ENCFF610LIH",ENCFF011HZT
SLTM,HepG2,ENCSR351PVI,ENCSR670UPZ,"ENCFF065END,ENCFF958NRC,ENCFF208JVP,ENCFF142LPF","ENCFF125BHF,ENCFF736YMC","ENCFF870XZV,ENCFF892IWC",ENCFF837ZOX,SLTM eCLIP mock input,"ENCFF995SCZ,ENCFF489KGX",ENCFF262DRT
SF3B4,HepG2,ENCSR279UJF,ENCSR886YYD,"ENCFF992GNI,ENCFF702GTT,ENCFF869UXX,ENCFF722QLW","ENCFF352PAK,ENCFF855AZI","ENCFF581RVY,ENCFF363PGR",ENCFF097FBP,SF3B4 eCLIP mock input,"ENCFF772NLB,ENCFF673XBX",ENCFF976CQJ
BCCIP,HepG2,ENCSR485QCG,ENCSR655BRZ,"ENCFF287LMI,ENCFF300RFO,ENCFF292ANE,ENCFF896YHT","ENCFF005HRW,ENCFF731PYG","ENCFF627YDB,ENCFF698TRT",ENCFF842EFT,BCCIP eCLIP mock input,"ENCFF996LKZ,ENCFF371GVL",ENCFF421BZA
XRN2,HepG2,ENCSR655NZA,ENCSR247PDK,"ENCFF008SMT,ENCFF470XOZ,ENCFF017XXT,ENCFF184DUX","ENCFF307RJJ,ENCFF260PAC","ENCFF845EBP,ENCFF944KMN",ENCFF717EQF,XRN2 eCLIP mock input,"ENCFF147FKV,ENCFF947NEA",ENCFF723GEY
FMR1,K562,ENCSR331VNX,ENCSR735MBZ,"ENCFF647ULQ,ENCFF319MIE,ENCFF111LIY,ENCFF217LJP","ENCFF736XNI,ENCFF436TNC","ENCFF965SEZ,ENCFF393YLO",ENCFF700XBC,FMR1 eCLIP mock input,"ENCFF495FSA,ENCFF524AJF",ENCFF328KAL
FXR2,K562,ENCSR224QWC,ENCSR411IMJ,"ENCFF487CVX,ENCFF390XNM,ENCFF616XVI,ENCFF179VQL","ENCFF880NPI,ENCFF950NHZ","ENCFF871ZJM,ENCFF639OOE",ENCFF363IJZ,FXR2 eCLIP mock input,"ENCFF277PAA,ENCFF508IIT",ENCFF161OXR
TRA2A,K562,ENCSR365NVO,ENCSR619RLC,"ENCFF917GQR,ENCFF795IGM,ENCFF349ZAH,ENCFF116QDH","ENCFF222FBC,ENCFF059QDI","ENCFF257VRQ,ENCFF744EQP",ENCFF004IIT,TRA2A eCLIP mock input,"ENCFF057LEI,ENCFF169EQC",ENCFF175TON
DDX42,K562,ENCSR576SHT,ENCSR200SAU,"ENCFF196YUL,ENCFF450GCJ,ENCFF032CWK,ENCFF092NLI","ENCFF337FDR,ENCFF920GHG","ENCFF615THP,ENCFF874RBP",ENCFF367VYJ,DDX42 eCLIP mock input,"ENCFF409TRK,ENCFF037AIE",ENCFF623MFK
U2AF2,K562,ENCSR893RAV,ENCSR871RTL,"ENCFF270BLT,ENCFF567UMG,ENCFF708UWK,ENCFF886IXX","ENCFF092WRE,ENCFF783DTX","ENCFF454FEB,ENCFF430RTZ",ENCFF331AFC,U2AF2 eCLIP mock input,"ENCFF325JZX,ENCFF303MYY",ENCFF097VMD
LARP7,K562,ENCSR456KXI,ENCSR863ZGZ,"ENCFF803VTZ,ENCFF905YHV,ENCFF327HGP,ENCFF256RGM","ENCFF473ESV,ENCFF918NSS","ENCFF017NRG,ENCFF208AAW",ENCFF305BNZ,LARP7 eCLIP mock input,"ENCFF476ASR,ENCFF967IQR",ENCFF699GNU
