dataset	direction	total_number	testable_number
HepG2_AGGF1	up	0	0
HepG2_AGGF1	down	3	0
HepG2_BCCIP	up	18	2
HepG2_BCCIP	down	5	0
HepG2_DDX55	up	8	2
HepG2_DDX55	down	13	4
HepG2_DDX59	up	23	8
HepG2_DDX59	down	19	3
HepG2_FAM120A	up	5	2
HepG2_FAM120A	down	3	0
HepG2_FUBP3	up	5	0
HepG2_FUBP3	down	3	0
HepG2_FUS	up	22	5
HepG2_FUS	down	9	1
HepG2_GRWD1	up	8	5
HepG2_GRWD1	down	7	4
HepG2_GTF2F1	up	0	0
HepG2_GTF2F1	down	2	0
HepG2_HLTF	up	8	5
HepG2_HLTF	down	5	2
HepG2_HNRNPA1	up	31	5
HepG2_HNRNPA1	down	24	2
HepG2_HNRNPC	up	277	50
HepG2_HNRNPC	down	124	6
HepG2_HNRNPK	up	209	29
HepG2_HNRNPK	down	109	12
HepG2_HNRNPL	up	95	14
HepG2_HNRNPL	down	6	0
HepG2_HNRNPM	up	43	4
HepG2_HNRNPM	down	11	0
HepG2_HNRNPU	up	19	4
HepG2_HNRNPU	down	26	3
HepG2_KHSRP	up	70	17
HepG2_KHSRP	down	14	2
HepG2_MATR3	up	74	18
HepG2_MATR3	down	12	2
HepG2_NCBP2	up	41	8
HepG2_NCBP2	down	78	20
HepG2_NKRF	up	7	0
HepG2_NKRF	down	0	0
HepG2_PCBP1	up	8	2
HepG2_PCBP1	down	26	1
HepG2_PCBP2	up	7	2
HepG2_PCBP2	down	49	5
HepG2_PPIG	up	8	3
HepG2_PPIG	down	5	2
HepG2_PTBP1	up	78	25
HepG2_PTBP1	down	47	7
HepG2_QKI	up	87	24
HepG2_QKI	down	46	7
HepG2_RBFOX2	up	17	7
HepG2_RBFOX2	down	52	12
HepG2_RBM15	up	8	3
HepG2_RBM15	down	8	2
HepG2_SDAD1	up	0	0
HepG2_SDAD1	down	0	0
HepG2_SLTM	up	3	0
HepG2_SLTM	down	0	0
HepG2_SND1	up	5	2
HepG2_SND1	down	2	0
