Protein_id	Gene_name	Gene_description
UniProtKB:Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK
UniProtKB:Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK
UniProtKB:Q14296	FASTK	Fas-activated serine/threonine kinase
UniProtKB:Q14296	FASTK	Fas-activated serine/threonine kinase
UniProtKB:Q12872	SFSWAP	Splicing factor, suppressor of white-apricot homolog
UniProtKB:Q12849	GRSF1	G-rich sequence factor 1
UniProtKB:Q9HAZ1	CLK4	Dual specificity protein kinase CLK4
UniProtKB:Q07666	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1
UniProtKB:Q07666	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1
UniProtKB:P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
UniProtKB:P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
UniProtKB:Q7Z333	SETX	Probable helicase senataxin
UniProtKB:Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17
UniProtKB:Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
UniProtKB:Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
UniProtKB:Q13573	SNW1	SNW domain-containing protein 1
UniProtKB:Q9NTZ6	RBM12	RNA-binding protein 12
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:P57052	RBM11	Splicing regulator RBM11
UniProtKB:P57052	RBM11	Splicing regulator RBM11
UniProtKB:Q9BRL6	SRSF8	Serine/arginine-rich splicing factor 8
UniProtKB:Q9NUK0	MBNL3	Muscleblind-like protein 3
UniProtKB:Q9NUK0	MBNL3	Muscleblind-like protein 3
UniProtKB:Q09161	NCBP1	Nuclear cap-binding protein subunit 1
UniProtKB:Q07955	SRSF1	Serine/arginine-rich splicing factor 1
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:Q2TAY7	SMU1	WD40 repeat-containing protein SMU1
UniProtKB:A6NDE4	RBMY1B	RNA-binding motif protein, Y chromosome, family 1 member B
UniProtKB:P18583	SON	Protein SON
UniProtKB:P18583	SON	Protein SON
UniProtKB:P18583	SON	Protein SON
UniProtKB:A2RU54	HMX2	Homeobox protein HMX2
UniProtKB:Q96T37	RBM15	RNA-binding protein 15
UniProtKB:Q4G0J3	LARP7	La-related protein 7
UniProtKB:Q9NYV4	CDK12	Cyclin-dependent kinase 12
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q8N6W0	CELF5	CUGBP Elav-like family member 5
UniProtKB:Q8N6W0	CELF5	CUGBP Elav-like family member 5
UniProtKB:Q92879	CELF1	CUGBP Elav-like family member 1
UniProtKB:Q92879	CELF1	CUGBP Elav-like family member 1
UniProtKB:Q9UNW9	NOVA2	RNA-binding protein Nova-2
UniProtKB:Q5JVS0	HABP4	Intracellular hyaluronan-binding protein 4
UniProtKB:Q5JVS0	HABP4	Intracellular hyaluronan-binding protein 4
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q15637	SF1	Splicing factor 1
UniProtKB:P31483	TIA1	Nucleolysin TIA-1 isoform p40
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:Q8WUF8	FAM172A	Cotranscriptional regulator FAM172A
UniProtKB:Q8WXA9	SREK1	Splicing regulatory glutamine/lysine-rich protein 1
UniProtKB:Q15427	SF3B4	Splicing factor 3B subunit 4
UniProtKB:Q15415	RBMY1F	RNA-binding motif protein, Y chromosome, family 1 member F/J
UniProtKB:P51816	AFF2	AF4/FMR2 family member 2
UniProtKB:P51816	AFF2	AF4/FMR2 family member 2
UniProtKB:P15172	MYOD1	Myoblast determination protein 1
UniProtKB:P15172	MYOD1	Myoblast determination protein 1
UniProtKB:P35637	FUS	RNA-binding protein FUS
UniProtKB:P35637	FUS	RNA-binding protein FUS
UniProtKB:P30041	PRDX6	Peroxiredoxin-6
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:P55061	TMBIM6	Bax inhibitor 1
UniProtKB:Q8N3J2	METTL4	N(6)-adenine-specific methyltransferase METTL4
UniProtKB:P55795	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2
UniProtKB:P31943	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H
UniProtKB:P31943	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H
UniProtKB:P31942	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3
UniProtKB:Q9H6T0	ESRP2	Epithelial splicing regulatory protein 2
UniProtKB:Q9H6T0	ESRP2	Epithelial splicing regulatory protein 2
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q6ZMH5	SLC39A5	Zinc transporter ZIP5
UniProtKB:P17844	DDX5	Probable ATP-dependent RNA helicase DDX5
UniProtKB:P17844	DDX5	Probable ATP-dependent RNA helicase DDX5
UniProtKB:P0DMV8	HSPA1A	Heat shock 70 kDa protein 1A
UniProtKB:Q96K80	ZC3H10	Zinc finger CCCH domain-containing protein 10
UniProtKB:Q13127	REST	RE1-silencing transcription factor
UniProtKB:Q13123	IK	Protein Red
UniProtKB:P19338	NCL	Nucleolin
UniProtKB:P98179	RBM3	RNA-binding protein 3
UniProtKB:P98175	RBM10	RNA-binding protein 10
UniProtKB:P98175	RBM10	RNA-binding protein 10
UniProtKB:Q08170	SRSF4	Serine/arginine-rich splicing factor 4
UniProtKB:Q08170	SRSF4	Serine/arginine-rich splicing factor 4
UniProtKB:Q9NWB1	RBFOX1	RNA binding protein fox-1 homolog 1
UniProtKB:O60828	PQBP1	Polyglutamine-binding protein 1
UniProtKB:O60828	PQBP1	Polyglutamine-binding protein 1
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q9BTD8	RBM42	RNA-binding protein 42
UniProtKB:Q9BTD8	RBM42	RNA-binding protein 42
UniProtKB:Q9NW64	RBM22	Pre-mRNA-splicing factor RBM22
UniProtKB:Q9UMS4	PRPF19	Pre-mRNA-processing factor 19
UniProtKB:Q01130	SRSF2	Serine/arginine-rich splicing factor 2
UniProtKB:P22626	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
UniProtKB:M0R076	M0R076	Uncharacterized protein (Fragment)
UniProtKB:M0R076	M0R076	Uncharacterized protein (Fragment)
UniProtKB:P09651	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1
UniProtKB:Q96QD8	SLC38A2	Sodium-coupled neutral amino acid transporter 2
UniProtKB:Q96PU8	QKI	Protein quaking
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13243	SRSF5	Serine/arginine-rich splicing factor 5
UniProtKB:Q13243	SRSF5	Serine/arginine-rich splicing factor 5
UniProtKB:Q13242	SRSF9	Serine/arginine-rich splicing factor 9
UniProtKB:Q13242	SRSF9	Serine/arginine-rich splicing factor 9
UniProtKB:Q96SB4	SRPK1	SRSF protein kinase 1
UniProtKB:Q5BKZ1	ZNF326	DBIRD complex subunit ZNF326
UniProtKB:Q6NXG1	ESRP1	Epithelial splicing regulatory protein 1
UniProtKB:Q6NXG1	ESRP1	Epithelial splicing regulatory protein 1
UniProtKB:Q8IWL8	STH	Saitohin
UniProtKB:Q9HCG8	CWC22	Pre-mRNA-splicing factor CWC22 homolog
UniProtKB:P51513	NOVA1	RNA-binding protein Nova-1
UniProtKB:P26368	U2AF2	Splicing factor U2AF 65 kDa subunit
UniProtKB:P26368	U2AF2	Splicing factor U2AF 65 kDa subunit
UniProtKB:Q15020	SART3	Squamous cell carcinoma antigen recognized by T-cells 3
UniProtKB:Q15007	WTAP	Pre-mRNA-splicing regulator WTAP
UniProtKB:Q15007	WTAP	Pre-mRNA-splicing regulator WTAP
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9NZ63	C9orf78	Telomere length and silencing protein 1 homolog
UniProtKB:Q58F21	BRDT	Bromodomain testis-specific protein
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:P24928	POLR2A	DNA-directed RNA polymerase II subunit RPB1
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
