reg_id	n	p_dummy	p_trad_genes	p_select_genes
HNRNPM_HepG2_355	8835	566	234	2054
PTBP1_HepG2_56997	9486	565	266	2054
QKI_HepG2_43116	11262	561	842	2054
RBM15_K562_19280	19906	594	238	2054
PTBP1_HepG2_46901	5917	484	121	2054
SRSF1_K562_17963	19690	594	813	2054
QKI_HepG2_23548	20014	594	370	2054
SRSF9_HepG2_9956	19946	594	759	2054
HNRNPK_HepG2_34842	1796	358	28	2054
SRSF1_K562_1990	19926	594	669	2054
SRSF9_HepG2_27423	19741	594	982	2054
KHSRP_K562_26714	16266	590	640	2054
UCHL5_K562_41797	19900	594	428	2054
SRSF1_HepG2_24886	18379	594	375	2054
SRSF1_HepG2_20446	18412	589	739	2054
SRSF1_HepG2_8886	10797	559	158	2054
SRSF1_HepG2_45413	19464	593	532	2054
PTBP1_HepG2_30673	16581	583	922	2054
SRSF9_HepG2_4251	2310	326	118	2054
HNRNPK_HepG2_19101	19805	592	676	2054
FXR1_K562_55108	19518	594	657	2054
HNRNPU_K562_51120	19711	594	293	2054
HNRNPU_K562_2282	20018	594	703	2054
RBM15_K562_61046	12204	582	143	2054
RBM15_HepG2_14099	18036	589	244	2054
HNRNPU_K562_24311	18553	590	249	2054
AKAP8L_K562_69073	7795	553	90	2054
PTBP1_HepG2_62959	19488	594	1001	2054
SRSF1_HepG2_29681	7213	462	7	2054
SRSF1_K562_61141	19811	593	230	2054
AKAP8L_K562_66618	18771	594	375	2054
KHSRP_K562_57657	8874	578	261	2054
SRSF1_HepG2_18740	19566	594	571	2054
AKAP8L_K562_65543	19727	594	595	2054
PTBP1_HepG2_50951	19193	594	642	2054
SRSF1_HepG2_4858	19836	594	274	2054
SRSF1_K562_50017	19428	594	897	2054
RBFOX2_HepG2_22448	19804	594	1110	2054
SRSF1_K562_22032	20012	593	564	2054
RBM15_K562_75843	6571	540	144	2054
RBFOX2_HepG2_27006	19514	593	692	2054
RBM15_K562_4596	19097	592	426	2054
RBFOX2_HepG2_35572	18961	594	802	2054
SRSF1_K562_52039	16343	591	260	2054
SRSF1_K562_64223	18471	594	114	2054
SRSF1_HepG2_41913	19723	594	203	2054
TIA1_HepG2_7657	20120	594	1271	2054
SRSF1_HepG2_37392	19330	593	1011	2054
UCHL5_HepG2_7192	20120	594	1317	2054
SRSF1_K562_29397	2666	444	72	2054
UCHL5_HepG2_20931	17337	593	323	2054
SRSF1_HepG2_11270	8585	569	135	2054
PTBP1_K562_50698	4892	536	311	2054
PTBP1_K562_55598	19193	594	568	2054
QKI_HepG2_52476	9641	561	404	2054
PTBP1_K562_68963	19488	594	1001	2054
TIA1_HepG2_28332	17932	594	848	2054
HNRNPM_K562_20185	18568	590	384	2054
RBM15_K562_43316	19681	594	379	2054
RBM15_K562_47930	18019	591	361	2054
SRSF1_K562_36483	10000	568	361	2054
HNRNPK_HepG2_52609	19638	594	787	2054
FXR1_K562_6668	11190	330	403	2054
QKI_HepG2_8009	5647	441	207	2054
UCHL5_HepG2_39011	11262	561	842	2054
RBM15_K562_55962	5999	341	95	2054
SRSF1_HepG2_8397	19888	593	459	2054
HNRNPL_K562_19101	19635	593	1012	2054
RBFOX2_HepG2_7616	19185	594	513	2054
RBFOX2_HepG2_346	15843	583	310	2054
RBM15_K562_76585	19429	594	645	2054
TIA1_HepG2_16672	16657	592	154	2054
HNRNPU_K562_62032	20027	594	760	2054
AKAP8L_K562_75465	6571	540	126	2054
SRSF1_HepG2_28622	20088	594	1038	2054
RBFOX2_HepG2_7563	19568	593	646	2054
QKI_HepG2_25090	19804	594	843	2054
RBM15_K562_60529	19939	594	971	2054
SRSF1_K562_55458	19966	594	667	2054
PTBP1_K562_17588	20010	594	1123	2054
HNRNPU_K562_2280	19926	594	626	2054
PTBP1_K562_26387	2555	316	81	2054
UCHL5_HepG2_35380	20121	594	1168	2054
FXR1_K562_61020	20100	594	827	2054
PTBP1_HepG2_34082	7087	270	368	2054
SRSF9_HepG2_31771	15603	591	279	2054
UCHL5_HepG2_56207	19429	594	761	2054
RBM15_K562_72850	18471	594	95	2054
RBM15_K562_45942	14043	576	151	2054
SRSF1_HepG2_23171	13770	584	724	2054
HNRNPM_HepG2_12646	15844	581	606	2054
RBM15_K562_48205	6754	321	266	2054
TIA1_HepG2_30000	15838	590	256	2054
SRSF1_HepG2_18877	15707	592	388	2054
SRSF1_K562_21181	19880	594	457	2054
AKAP8L_K562_22255	20112	594	536	2054
SRSF1_HepG2_38964	16822	578	572	2054
PTBP1_HepG2_14223	12497	577	604	2054
SRSF1_HepG2_67534	1774	269	4	2054
FXR1_K562_18395	19980	594	472	2054
RBM15_K562_69843	19512	594	172	2054
SRSF1_HepG2_41215	16354	594	407	2054
RBM15_K562_20818	19362	593	291	2054
AKAP8L_K562_24002	19850	594	146	2054
SRSF1_HepG2_38828	19799	594	457	2054
RBM15_K562_74147	17825	588	304	2054
HNRNPL_HepG2_16540	19635	593	1068	2054
RBFOX2_K562_7910	11890	588	549	2054
RBM15_K562_57031	19990	594	461	2054
HNRNPK_HepG2_31432	18464	591	722	2054
RBM15_K562_74862	17186	591	106	2054
QKI_HepG2_45873	19081	593	685	2054
AKAP8L_K562_72456	14123	591	310	2054
RBFOX2_HepG2_851	14260	576	235	2054
FXR1_K562_6193	20114	594	744	2054
RBM15_K562_2952	11151	290	58	2054
QKI_HepG2_34858	9153	566	443	2054
HNRNPM_HepG2_53294	18228	594	501	2054
SRSF1_HepG2_58271	16252	592	530	2054
HNRNPU_K562_62025	19966	594	724	2054
RBFOX2_HepG2_37744	7935	531	256	2054
SRSF1_K562_33164	19949	594	326	2054
RBM15_K562_1152	14802	589	290	2054
SRSF1_HepG2_59293	18771	594	375	2054
RBFOX2_HepG2_46826	19976	594	760	2054
SRSF9_HepG2_12741	20082	594	741	2054
AKAP8L_K562_46802	19121	590	281	2054
FXR1_K562_18985	18948	591	504	2054
SRSF1_HepG2_2027	20018	594	652	2054
HNRNPU_K562_50731	6010	519	53	2054
SRSF1_K562_17693	19314	594	215	2054
SRSF1_K562_63316	20110	594	1078	2054
KHSRP_K562_55454	19727	594	595	2054
SRSF1_K562_3204	19826	594	834	2054
KHSRP_K562_21637	20084	594	1230	2054
SRSF1_HepG2_41253	631	209	36	2054
RBFOX2_HepG2_21705	14938	582	636	2054
UCHL5_K562_43458	19699	594	947	2054
HNRNPK_HepG2_36593	3451	342	174	2054
SRSF1_K562_16880	20014	594	446	2054
RBM15_K562_30898	4211	444	162	2054
