group_id	event_id	ref_id	event_type	long_5SS_ref_maxEntScan	long_5SS_var_maxEntScan	short_5SS_ref_maxEntScan	short_5SS_var_maxEntScan	long_5SS_status	short_5SS_status
10001	10001;A5:10001:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10004	10004;A5:10004:290-1003:252-1003:+	2702	A5	9.49	9.49	-6.6	-11.64	Same	Same
10027	10027;A5:10027:44-212:28-212:+	5371	A5	8.08	8.08	6.13	6.13	Same	Same
10035	10035;A5:10035:318-1004:305-1004:+	7277	A5	-1.95	-1.95	-1.06	-1.06	Same	Same
10044	10044;A5:10044:44-209:28-209:+	16137	A5	8.08	8.08	6.13	6.13	Same	Same
10051	10051;A5:10051:44-212:28-212:+	5371	A5	8.08	8.08	6.13	6.13	Same	Same
10059	10059;A5:10059:44-207:28-207:+	8154	A5	8.08	8.08	6.13	6.13	Same	Same
10063	10063;A5:10063:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10064	10064;A5:10064:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10081	10081;A5:10081:44-206:28-206:+	17483	A5	8.08	8.08	6.13	6.13	Same	Same
10087	10087;A5:10087:44-237:28-237:+	14872	A5	8.08	8.08	6.13	6.13	Same	Same
100	100;A5:100:44-216:28-216:+	3506	A5	8.08	8.08	6.13	6.13	Same	Same
10101	10101;A5:10101:44-215:28-215:+	2924	A5	8.08	8.08	6.13	6.13	Same	Same
10109	10109;A5:10109:44-212:28-212:+	5371	A5	8.08	8.08	6.13	6.13	Same	Same
10137	10137;A5:10137:290-1004:280-1004:+	1853	A5	-11.26	-11.26	2.95	2.95	Same	Same
10160	10160;A5:10160:44-225:28-225:+	31177	A5	8.08	8.08	6.13	6.13	Same	Same
10162	10162;A5:10162:297-1004:275-1004:+	22798	A5	4.54	4.54	-17.83	-17.83	Same	Same
10174	10174;A5:10174:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10182	10182;A5:10182:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10202	10202;A5:10202:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10205	10205;A5:10205:311-1003:287-1003:+	4081	A5	4.69	4.69	6.34	6.34	Same	Same
10210	10210;A5:10210:44-205:28-205:+	5675	A5	8.08	8.08	6.13	6.13	Same	Same
10212	10212;A5:10212:44-210:28-210:+	16703	A5	8.08	8.08	6.13	6.13	Same	Same
10235	10235;A5:10235:319-1004:274-1004:+	16104	A5	1.31	1.31	6.51	6.51	Same	Same
10247	10247;A5:10247:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
1024	1024;A5:1024:312-1004:262-1004:+	7483	A5	4.81	4.81	1.91	1.91	Same	Same
10256	10256;A5:10256:44-209:28-209:+	16137	A5	8.08	8.08	6.13	6.13	Same	Same
10288	10288;A5:10288:303-1004:240-1004:+	19880	A5	2.37	2.37	7.46	7.46	Same	Same
10294	10294;A5:10294:44-219:28-219:+	29237	A5	8.08	8.08	6.13	6.13	Same	Same
10317	10317;A5:10317:44-213:28-213:+	21519	A5	8.08	8.08	6.13	6.13	Same	Same
10324	10324;A5:10324:44-212:28-212:+	5371	A5	8.08	8.08	6.13	6.13	Same	Same
10331	10331;A5:10331:290-1004:280-1004:+	1853	A5	-11.26	-11.26	2.95	2.95	Same	Same
1033	1033;A5:1033:44-206:28-206:+	16599	A5	8.08	8.08	6.13	6.13	Same	Same
