group_id	event_id	ref_id	event_type	included_3SS_ref_maxEntScan	included_3SS_var_maxEntScan	included_5SS_ref_maxEntScan	included_5SS_var_maxEntScan	3SS_status	5SS_status
10000	10000;SE:10000:44-239:283-1003:+	20401	SE	6.81	9.4	6.03	6.03	Same	Same
10001	10001;SE:10001:44-205:262-1004:+	7483	SE	0.08	0.08	1.91	1.91	Same	Same
10001	10001;SE:10001:44-205:312-1004:+	7483	SE	0.08	0.08	4.81	4.81	Same	Same
10002	10002;SE:10002:44-205:275-1004:+	15578	SE	1.5	1.5	7.4	7.4	Same	Same
10003	10003;SE:10003:44-219:290-1003:+	7099	SE	6.22	6.22	9.16	9.16	Same	Same
10003	10003;SE:10003:44-239:290-1003:+	7099	SE	1.63	2.76	9.16	9.16	Same	Same
10004	10004;SE:10004:44-219:290-1003:+	2702	SE	11.49	11.49	9.49	9.49	Same	Same
10004	10004;SE:10004:44-219:252-1003:+	2702	SE	11.49	11.49	-6.6	-11.64	Same	Same
10005	10005;SE:10005:44-213:305-1004:+	3817	SE	5.57	3.42	7.46	7.46	Same	Same
10005	10005;SE:10005:44-176:305-1004:+	3817	SE	11.21	11.21	7.46	7.46	Same	Same
10006	10006;SE:10006:44-212:298-1004:+	14612	SE	6.57	6.57	8.41	8.41	Same	Same
10006	10006;SE:10006:44-160:298-1004:+	14612	SE	7.85	7.85	8.41	8.41	Same	Same
10007	10007;SE:10007:44-262:305-1004:+	18615	SE	8.23	8.8	9.6	9.6	Same	Same
10008	10008;SE:10008:44-205:213-1004:+	12959	SE	11.24	11.24	9.85	9.85	Same	Same
10009	10009;SE:10009:44-212:297-1003:+	25564	SE	4.3	4.3	8.68	8.68	Same	Same
10009	10009;SE:10009:44-267:297-1003:+	25564	SE	-0.66	-0.66	8.68	8.68	Same	Same
1000	1000;SE:1000:44-230:305-1004:+	6688	SE	7.98	7.98	5.95	5.95	Same	Same
10010	10010;SE:10010:44-205:243-1004:+	18403	SE	8.87	8.87	8.35	8.35	Same	Same
10011	10011;SE:10011:44-232:278-1004:+	4433	SE	11.11	11.11	8.55	8.55	Same	Same
10011	10011;SE:10011:44-258:278-1004:+	4433	SE	-12.63	-12.1	8.55	8.55	Other_non-canonical	Same
10012	10012;SE:10012:44-218:292-1004:+	20209	SE	7.05	7.05	7.83	7.83	Same	Same
10013	10013;SE:10013:44-232:305-1004:+	27687	SE	6.8	6.8	6.99	6.99	Same	Same
10013	10013;SE:10013:44-219:305-1004:+	27687	SE	-4.76	-4.76	6.99	6.99	Same	Same
10014	10014;SE:10014:44-205:228-1004:+	18205	SE	-0.12	-0.12	9.27	9.27	Same	Same
10015	10015;SE:10015:44-205:304-1003:+	25281	SE	9.74	9.74	11.01	11.01	Same	Same
