gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
A1CF,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:24086],ENSG00000148584,ENSP00000282641,4,"RRM_1[2],DND1_DSRM[1],RRM_6[1]",family-347,"A1CF,RBM47,DND1,RBM46,SYNCRIP,HNRNPR",A1CF,"RBM47[46,46],DND1[19,32],RBM46[44,49],SYNCRIP[31,30],HNRNPR[32,30]",mRNA,mRNA,10669759,.,.,.,.,.,1,"GO:0003723,GO:0003727,GO:0030895,GO:0006397,GO:0016556","RNA binding,single-stranded RNA binding,apolipoprotein B mRNA editing enzyme complex,mRNA processing,mRNA modification","GO:0000166,GO:0003676,GO:0005737,GO:0003723,GO:0005515,GO:0003727,GO:0005783,GO:0005654,GO:0030895,GO:0010467,GO:0006397,GO:0050821,GO:0016554,GO:0016556","nucleotide binding,nucleic acid binding,cytoplasm,RNA binding,protein binding,single-stranded RNA binding,endoplasmic reticulum,nucleoplasm,apolipoprotein B mRNA editing enzyme complex,gene expression,mRNA processing,protein stabilization,cytidine to uridine editing,mRNA modification",.
AAR2,AAR2 splicing factor homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:15886],ENSG00000131043,ENSP00000380455,1,AAR2[1],family-614,AAR2,.,.,snRNA,snRNA,11720285,.,.,.,.,.,.,.,.,.,.,.
AARS,alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:20],ENSG00000090861,ENSP00000261772,3,"tRNA_SAD[1],DHHA1[1],tRNA-synt_2c[1]",family-586,"AARS,AARS2",AARS,"AARS2[45,44]",tRNA,tRNA,established RBP ,.,.,.,.,.,.,"GO:0004813,GO:0016876,GO:0006419,GO:0043039,GO:0000049,GO:0002161,GO:0006450,GO:0008033,GO:0006418,GO:0006400","alanine-tRNA ligase activity,ligase activity, forming aminoacyl-tRNA and related compounds,alanyl-tRNA aminoacylation,tRNA aminoacylation,tRNA binding,aminoacyl-tRNA editing activity,regulation of translational fidelity,tRNA processing,tRNA aminoacylation for protein translation,tRNA modification","GO:0000166,GO:0005524,GO:0003676,GO:0004813,GO:0016876,GO:0006419,GO:0043039,GO:0046872,GO:0000049,GO:0002161,GO:0016597,GO:0005737,GO:0005829,GO:0043588,GO:0050905,GO:0006450,GO:0034620,GO:0006457,GO:0010467,GO:0008033,GO:0050885,GO:0043524,GO:0043200,GO:0001942,GO:0006418,GO:0030968,GO:0021680,GO:0006400","nucleotide binding,ATP binding,nucleic acid binding,alanine-tRNA ligase activity,ligase activity, forming aminoacyl-tRNA and related compounds,alanyl-tRNA aminoacylation,tRNA aminoacylation,metal ion binding,tRNA binding,aminoacyl-tRNA editing activity,amino acid binding,cytoplasm,cytosol,skin development,neuromuscular process,regulation of translational fidelity,cellular response to unfolded protein,protein folding,gene expression,tRNA processing,neuromuscular process controlling balance,negative regulation of neuron apoptotic process,response to amino acid,hair follicle development,tRNA aminoacylation for protein translation,endoplasmic reticulum unfolded protein response,cerebellar Purkinje cell layer development,tRNA modification"," CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2N; CMT2N"
AARS2,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:21022]",ENSG00000124608,ENSP00000244571,2,"tRNA_SAD[1],tRNA-synt_2c[1]",family-586,"AARS,AARS2",AARS,"AARS2[45,44]",tRNA,tRNA,established RBP ,.,.,.,.,.,.,"GO:0000049,GO:0004813,GO:0016876,GO:0006418,GO:0006419,GO:0043039,GO:0070143","tRNA binding,alanine-tRNA ligase activity,ligase activity, forming aminoacyl-tRNA and related compounds,tRNA aminoacylation for protein translation,alanyl-tRNA aminoacylation,tRNA aminoacylation,mitochondrial alanyl-tRNA aminoacylation","GO:0000166,GO:0005524,GO:0003676,GO:0046872,GO:0000049,GO:0004813,GO:0016876,GO:0005739,GO:0005737,GO:0010467,GO:0006418,GO:0006419,GO:0043039,GO:0033108,GO:0070143","nucleotide binding,ATP binding,nucleic acid binding,metal ion binding,tRNA binding,alanine-tRNA ligase activity,ligase activity, forming aminoacyl-tRNA and related compounds,mitochondrion,cytoplasm,gene expression,tRNA aminoacylation for protein translation,alanyl-tRNA aminoacylation,tRNA aminoacylation,mitochondrial respiratory chain complex assembly,mitochondrial alanyl-tRNA aminoacylation", COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8; COXPD8
AARSD1,alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:28417],ENSG00000266967,ENSP00000400870,2,"tRNA_SAD[1],tRNA-synt_2c[1]",family-527,"AARSD1,PTGES3L-AARSD1",AARSD1,"PTGES3L-AARSD1[93,66]",tRNA,putative tRNA,established RBP ,.,.,.,.,.,.,"GO:0016876,GO:0043039,GO:0002161,GO:0004813,GO:0006450,GO:0006419","ligase activity, forming aminoacyl-tRNA and related compounds,tRNA aminoacylation,aminoacyl-tRNA editing activity,alanine-tRNA ligase activity,regulation of translational fidelity,alanyl-tRNA aminoacylation","GO:0000166,GO:0005524,GO:0016876,GO:0043039,GO:0005515,GO:0002161,GO:0002196,GO:0003676,GO:0046872,GO:0004813,GO:0005737,GO:0006450,GO:0006419","nucleotide binding,ATP binding,ligase activity, forming aminoacyl-tRNA and related compounds,tRNA aminoacylation,protein binding,aminoacyl-tRNA editing activity,Ser-tRNA(Ala) hydrolase activity,nucleic acid binding,metal ion binding,alanine-tRNA ligase activity,cytoplasm,regulation of translational fidelity,alanyl-tRNA aminoacylation",.
ABCE1,"ATP-binding cassette, sub-family E (OABP), member 1 [Source:HGNC Symbol;Acc:69]",ENSG00000164163,ENSP00000296577,4,"Fer4[1],RLI[1],ABC_tran[2]",family-348,ABCE1,.,.,ncRNA,putative viral RNA,"Alternatively referred to as the RNase L inhibitor, this protein functions to block the activity of ribonuclease L. Activation of ribonuclease L leads to inhibition of protein synthesis in the 2-5A/RNase L system, the central pathway for viral interferon action. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]",.,.,.,.,.,.,"GO:0008428,GO:0006401","ribonuclease inhibitor activity,RNA catabolic process","GO:0005524,GO:0016887,GO:0000166,GO:0017111,GO:0051536,GO:0008428,GO:0005737,GO:0005739,GO:0009615,GO:0019048,GO:0006401","ATP binding,ATPase activity,nucleotide binding,nucleoside-triphosphatase activity,iron-sulfur cluster binding,ribonuclease inhibitor activity,cytoplasm,mitochondrion,response to virus,modulation by virus of host morphology or physiology,RNA catabolic process",.
ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:70]",ENSG00000225989,ENSP00000412553,3,"ABC_tran_2[1],ABC_tran[2]",family-653,"ABCF1,ABCF3",ABCF1,"ABCF3[30,36]",mRNA,mRNA,19570978,RNAbinding,RNArelated,1,1,1,.,"GO:0005840,GO:0043022,GO:0008135,GO:0008494,GO:0042788,GO:0006412,GO:0045727,GO:0006413","ribosome,ribosome binding,translation factor activity, nucleic acid binding,translation activator activity,polysomal ribosome,translation,positive regulation of translation,translational initiation","GO:0005524,GO:0016887,GO:0005840,GO:0000166,GO:0005515,GO:0017111,GO:0043022,GO:0008135,GO:0008494,GO:0005737,GO:0005654,GO:0005635,GO:0042788,GO:0006954,GO:0006412,GO:0045727,GO:0006413","ATP binding,ATPase activity,ribosome,nucleotide binding,protein binding,nucleoside-triphosphatase activity,ribosome binding,translation factor activity, nucleic acid binding,translation activator activity,cytoplasm,nucleoplasm,nuclear envelope,polysomal ribosome,inflammatory response,translation,positive regulation of translation,translational initiation",.
ABT1,activator of basal transcription 1 [Source:HGNC Symbol;Acc:17369],ENSG00000146109,ENSP00000274849,1,RRM_6[1],family-489,ABT1,.,.,mRNA,putative mRNA,"by domain, 22658674, 22681889",RNAbinding,RNAbinding,1,1,1,.,GO:0003723,RNA binding,"GO:0000166,GO:0003723,GO:0005515,GO:0003677,GO:0003713,GO:0005634,GO:0005667,GO:0005730,GO:0006366,GO:0006357,GO:0021522","nucleotide binding,RNA binding,protein binding,DNA binding,transcription coactivator activity,nucleus,transcription factor complex,nucleolus,transcription from RNA polymerase II promoter,regulation of transcription from RNA polymerase II promoter,spinal cord motor neuron differentiation",.
AC004381.6,Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2],ENSG00000005189,ENSP00000261377,3,"RRM_1[2],RNase_T[1]",family-824,AC004381.6,.,.,rRNA,rRNA/tRNA,"by homology, Rex1p",.,.,.,.,.,1,"GO:0003723,GO:0004527","RNA binding,exonuclease activity","GO:0000166,GO:0003723,GO:0003676,GO:0004527,GO:0005730","nucleotide binding,RNA binding,nucleic acid binding,exonuclease activity,nucleolus",.
ACIN1,apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:17066],ENSG00000100813,ENSP00000262710,2,"SAP[1],RRM_5[1]",family-867,ACIN1,.,.,mRNA,mRNA," This protein has also been shown to be a component of a splicing-dependent multiprotein exon junction complex (EJC) that is deposited at splice junctions on mRNAs, as a consequence of pre-mRNA splicing. It may thus be involved in mRNA metabolism associated with splicing.",RNAbinding,novel,1,1,.,1,"GO:0003723,GO:0006397,GO:0008380,GO:0048025","RNA binding,mRNA processing,RNA splicing,negative regulation of mRNA splicing, via spliceosome","GO:0000166,GO:0003676,GO:0005634,GO:0005737,GO:0003723,GO:0005515,GO:0016887,GO:0019899,GO:0005829,GO:0016607,GO:0035145,GO:0061574,GO:0006915,GO:0006200,GO:0006397,GO:0008380,GO:0043065,GO:0030218,GO:0045657,GO:0048025,GO:0006921,GO:0030263,GO:0005730","nucleotide binding,nucleic acid binding,nucleus,cytoplasm,RNA binding,protein binding,ATPase activity,enzyme binding,cytosol,nuclear speck,exon-exon junction complex,ASAP complex,apoptotic process,ATP catabolic process,mRNA processing,RNA splicing,positive regulation of apoptotic process,erythrocyte differentiation,positive regulation of monocyte differentiation,negative regulation of mRNA splicing, via spliceosome,cellular component disassembly involved in execution phase of apoptosis,apoptotic chromosome condensation,nucleolus",.
ACO1,"aconitase 1, soluble [Source:HGNC Symbol;Acc:117]",ENSG00000122729,ENSP00000438733,2,"Aconitase_C[1],Aconitase[1]",family-417,"ACO1,IREB2",ACO1,"IREB2[61,56]",mRNA,mRNA,"The protein encoded by this gene is a bifunctional, cytosolic protein that functions as an essential enzyme in the TCA cycle and interacts with mRNA to control the levels of iron inside cells. When cellular iron levels are high, this protein binds to a 4Fe-4S cluster and functions as an aconitase. Aconitases are iron-sulfur proteins that function to catalyze the conversion of citrate to isocitrate. When cellular iron levels are low, the protein binds to iron-responsive elements (IREs), which are stem-loop structures found in the 5' UTR of ferritin mRNA, and in the 3' UTR of transferrin receptor mRNA. When the protein binds to IRE, it results in repression of translation of ferritin mRNA, and inhibition of degradation of the otherwise rapidly degraded transferrin receptor mRNA. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Alternative splicing results in multiple transcript variants [provided by RefSeq, Jan 2014]",.,.,.,.,.,1,"GO:0006417,GO:0003723","regulation of translation,RNA binding","GO:0051539,GO:0005737,GO:0005739,GO:0005829,GO:0006417,GO:0008152,GO:0009791,GO:0006879,GO:0050892,GO:0003723,GO:0005515,GO:0046872,GO:0003994,GO:0030350,GO:0005783,GO:0005794,GO:0010468,GO:0006099,GO:0006101,GO:0010040","4 iron, 4 sulfur cluster binding,cytoplasm,mitochondrion,cytosol,regulation of translation,metabolic process,post-embryonic development,cellular iron ion homeostasis,intestinal absorption,RNA binding,protein binding,metal ion binding,aconitate hydratase activity,iron-responsive element binding,endoplasmic reticulum,Golgi apparatus,regulation of gene expression,tricarboxylic acid cycle,citrate metabolic process,response to iron(II) ion",.
ADAD1,adenosine deaminase domain containing 1 (testis-specific) [Source:HGNC Symbol;Acc:30713],ENSG00000164113,ENSP00000373376,2,"A_deamin[1],dsrm[1]",family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",mRNA,putative mRNA,by homology,.,.,.,.,.,.,"GO:0003723,GO:0006396","RNA binding,RNA processing","GO:0003723,GO:0004000,GO:0005634,GO:0007275,GO:0006396,GO:0007286","RNA binding,adenosine deaminase activity,nucleus,multicellular organismal development,RNA processing,spermatid development",.
ADAD2,adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:30714],ENSG00000140955,ENSP00000268624,2,"A_deamin[1],dsrm[1]",family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",mRNA,mRNA,by homology,.,.,.,.,.,.,"GO:0003723,GO:0006396","RNA binding,RNA processing","GO:0003723,GO:0004000,GO:0006396","RNA binding,adenosine deaminase activity,RNA processing",.
ADAR,"adenosine deaminase, RNA-specific [Source:HGNC Symbol;Acc:225]",ENSG00000160710,ENSP00000357459,6,"A_deamin[1],z-alpha[2],dsrm[3]",family-289,"ADAD1,ADAD2,ADAR,ADAT1,ADARB1,ADARB2",ADAD1,"ADAD2[28,24],ADAR[24,11],ADAT1[18,21],ADARB1[25,19],ADARB2[24,19]",mRNA,mRNA,"This gene encodes the enzyme responsible for RNA editing by site-specific deamination of adenosines. This enzyme destabilizes double-stranded RNA through conversion of adenosine to inosine. Mutations in this gene have been associated with dyschromatosis symmetrica hereditaria. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2010]",RNAmod,experimentally validated,1,1,.,.,"GO:0003723,GO:0003726,GO:0006396,GO:0044530,GO:0031047,GO:0006397,GO:0016556","RNA binding,double-stranded RNA adenosine deaminase activity,RNA processing,supraspliceosomal complex,gene silencing by RNA,mRNA processing,mRNA modification","GO:0003723,GO:0003726,GO:0004000,GO:0005634,GO:0006396,GO:0005515,GO:0046872,GO:0003677,GO:0005737,GO:0005730,GO:0005654,GO:0044530,GO:0045087,GO:0043066,GO:0009615,GO:0006611,GO:0010467,GO:0031047,GO:0006397,GO:0006606,GO:0019221,GO:0051607,GO:0006382,GO:0045070,GO:0060337,GO:0044387,GO:0035455,GO:0016556,GO:0016553","RNA binding,double-stranded RNA adenosine deaminase activity,adenosine deaminase activity,nucleus,RNA processing,protein binding,metal ion binding,DNA binding,cytoplasm,nucleolus,nucleoplasm,supraspliceosomal complex,innate immune response,negative regulation of apoptotic process,response to virus,protein export from nucleus,gene expression,gene silencing by RNA,mRNA processing,protein import into nucleus,cytokine-mediated signaling pathway,defense response to virus,adenosine to inosine editing,positive regulation of viral genome replication,type I interferon signaling pathway,negative regulation of protein kinase activity by regulation of protein phosphorylation,response to interferon-alpha,mRNA modification,base conversion or substitution editing", DYSCHROMATOSIS SYMMETRICA HEREDITARIA; DSH
